"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2026","10.10","10.11","10.23","10.01","1.34M","-1.13%"
"05/08/2026","10.21","10.37","10.41","10.19","2.40M","-3.86%"
"05/07/2026","10.62","10.30","10.77","10.30","3.59M","3.06%"
"05/06/2026","10.31","9.65","10.42","9.61","6.96M","9.56%"
"05/05/2026","9.41","8.94","9.41","8.90","3.28M","4.51%"
"05/04/2026","9.00","9.04","9.09","8.77","2.34M","-0.64%"
"04/30/2026","9.06","8.68","9.16","8.62","4.04M","3.80%"
"04/29/2026","8.73","8.91","8.94","8.72","2.55M","-2.28%"
"04/28/2026","8.93","9.02","9.08","8.87","2.62M","-1.19%"
"04/27/2026","9.04","9.30","9.30","9.02","2.26M","-1.97%"
"04/24/2026","9.22","9.46","9.49","9.18","2.60M","-3.80%"
"04/23/2026","9.58","9.60","9.67","9.44","1.73M","-1.52%"
"04/22/2026","9.73","9.97","10.03","9.66","1.90M","-1.66%"
"04/21/2026","9.90","10.20","10.24","9.87","2.49M","-3.50%"
"04/20/2026","10.26","10.10","10.30","10.09","2.30M","-2.61%"
"04/17/2026","10.53","9.89","10.71","9.84","5.59M","7.41%"
"04/16/2026","9.80","10.22","10.34","9.80","2.41M","-4.07%"
"04/15/2026","10.22","10.15","10.28","10.04","1.61M","0.99%"
"04/14/2026","10.12","9.77","10.16","9.75","3.09M","5.00%"
"04/13/2026","9.64","9.80","9.82","9.43","3.33M","-4.15%"
"04/10/2026","10.06","9.93","10.27","9.83","2.34M","2.33%"
"04/09/2026","9.83","9.75","9.91","9.66","2.06M","-0.55%"
"04/08/2026","9.88","9.93","10.27","9.88","8.08M","11.26%"
"04/07/2026","8.88","9.02","9.07","8.76","2.06M","-0.96%"
"04/02/2026","8.97","8.85","9.11","8.78","2.97M","-3.82%"
"04/01/2026","9.32","9.30","9.47","9.05","4.05M","8.93%"
"03/31/2026","8.56","8.58","8.76","8.51","1.68M","-0.67%"
"03/30/2026","8.62","8.58","8.76","8.50","1.98M","-1.49%"
"03/27/2026","8.75","9.08","9.08","8.73","2.27M","-4.29%"
"03/26/2026","9.14","9.06","9.20","9.00","1.43M","-0.57%"
"03/25/2026","9.19","9.37","9.39","9.10","2.18M","2.25%"
"03/24/2026","8.99","9.21","9.24","8.86","2.85M","-3.02%"
"03/23/2026","9.27","8.60","9.52","8.37","5.04M","3.90%"
"03/20/2026","8.92","9.28","9.37","8.81","2.69M","-1.98%"
"03/19/2026","9.10","9.43","9.43","9.04","3.17M","-6.19%"
"03/18/2026","9.70","9.94","9.99","9.64","1.47M","0.06%"
"03/17/2026","9.69","9.50","9.93","9.46","1.71M","1.13%"
"03/16/2026","9.59","9.58","9.75","9.39","1.81M","0.15%"
"03/13/2026","9.57","9.68","9.73","9.49","2.42M","-3.12%"
"03/12/2026","9.88","9.98","9.98","9.79","1.87M","-2.27%"
"03/11/2026","10.11","9.95","10.12","9.79","2.53M","1.00%"
"03/10/2026","10.01","10.36","10.42","9.95","2.56M","3.20%"
"03/09/2026","9.70","9.67","9.84","9.51","3.18M","-3.87%"
"03/06/2026","10.09","10.30","10.44","9.86","3.12M","-0.79%"
"03/05/2026","10.17","10.30","10.63","10.07","3.16M","-2.40%"
"03/04/2026","10.42","10.35","10.73","10.06","3.80M","1.61%"
