"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2026","408.15","400.50","412.00","396.50","13.03M","6.10%"
"05/08/2026","384.70","381.85","392.80","373.10","4.62M","-2.57%"
"05/07/2026","394.85","395.30","401.90","392.30","3.60M","0.93%"
"05/06/2026","391.20","376.10","398.60","375.40","4.57M","6.75%"
"05/05/2026","366.45","364.50","371.45","363.65","3.41M","-1.81%"
"05/01/2026","373.20","375.25","376.40","364.90","2.36M","0.27%"
"04/30/2026","372.20","360.15","374.50","359.25","2.09M","2.14%"
"04/29/2026","364.40","371.30","371.30","364.00","2.34M","-1.62%"
"04/28/2026","370.40","373.00","375.70","368.35","3.59M","-0.96%"
"04/27/2026","374.00","378.25","379.95","373.15","1.63M","-0.84%"
"04/24/2026","377.15","377.70","382.70","372.30","2.83M","-1.53%"
"04/23/2026","383.00","374.65","383.10","372.00","4.08M","1.51%"
"04/22/2026","377.30","394.20","396.10","375.70","5.96M","-3.75%"
"04/21/2026","392.00","403.45","405.30","391.70","3.43M","-2.27%"
"04/20/2026","401.10","397.30","402.50","395.40","2.59M","-1.96%"
"04/17/2026","409.10","388.55","413.20","385.40","4.81M","6.18%"
"04/16/2026","385.30","395.30","397.80","385.30","3.32M","-2.42%"
"04/15/2026","394.85","396.20","399.30","392.60","2.50M","0.24%"
"04/14/2026","393.90","388.30","395.00","387.60","3.66M","2.79%"
"04/13/2026","383.20","381.00","383.90","375.60","2.48M","-1.57%"
"04/10/2026","389.30","393.35","396.10","386.80","2.56M","0.57%"
"04/09/2026","387.10","384.30","388.90","383.45","2.35M","-0.69%"
"04/08/2026","389.80","393.20","405.00","387.50","7.01M","7.71%"
"04/07/2026","361.90","369.20","370.75","359.15","3.76M","-1.50%"
"04/02/2026","367.40","358.60","373.30","357.00","3.13M","-0.89%"
"04/01/2026","370.70","370.30","372.30","365.00","3.32M","5.64%"
"03/31/2026","350.90","349.90","354.90","349.20","3.33M","0.40%"
"03/30/2026","349.50","351.55","354.50","347.20","4.18M","-1.99%"
"03/27/2026","356.60","359.50","359.50","353.10","2.87M","-0.65%"
"03/26/2026","358.95","361.90","364.80","358.40","3.92M","-1.50%"
"03/25/2026","364.40","368.30","370.50","360.80","4.86M","2.02%"
"03/24/2026","357.20","362.90","364.15","354.20","4.50M","-1.16%"
"03/23/2026","361.40","335.70","370.75","333.10","4.67M","4.18%"
"03/20/2026","346.90","351.30","353.30","341.70","4.32M","1.51%"
"03/19/2026","341.75","348.20","349.80","341.60","5.08M","-4.27%"
"03/18/2026","357.00","361.45","366.50","355.00","4.39M","0.66%"
"03/17/2026","354.65","352.40","361.70","346.30","3.64M","0.62%"
"03/16/2026","352.45","352.10","359.10","342.60","6.95M","-0.54%"
"03/13/2026","354.35","357.50","360.10","352.90","4.98M","-2.25%"
"03/12/2026","362.50","369.25","371.20","359.30","6.52M","-2.83%"
"03/11/2026","373.05","373.50","377.40","370.10","2.44M","-1.34%"
"03/10/2026","378.10","380.00","380.10","369.20","4.99M","5.53%"
"03/09/2026","358.30","346.90","360.40","345.40","6.67M","-1.10%"
"03/06/2026","362.30","376.30","379.70","357.65","5.10M","-2.45%"
"03/05/2026","371.40","381.00","388.70","371.10","5.27M","-3.91%"
"03/04/2026","386.50","375.60","390.90","361.40","4.88M","3.12%"
"03/03/2026","374.80","398.25","398.60","350.00","7.30M","-6.72%"
"03/02/2026","401.80","385.30","407.50","373.20","8.24M","-5.35%"
"02/27/2026","424.50","457.05","463.90","422.50","7.20M","-7.23%"
"02/26/2026","457.60","446.40","457.60","443.90","4.49M","2.51%"
"02/25/2026","446.40","435.80","446.50","434.10","1.71M","3.17%"
"02/24/2026","432.70","430.80","435.60","427.40","1.46M","0.28%"
"02/23/2026","431.50","437.45","441.70","429.90","1.46M","-1.21%"
"02/20/2026","436.80","434.00","439.55","433.20","1.40M","0.71%"
"02/19/2026","433.70","446.00","448.65","428.30","2.49M","-1.97%"
"02/18/2026","442.40","444.60","446.30","428.50","2.94M","-0.39%"
"02/17/2026","444.15","438.70","444.50","431.70","1.63M","1.04%"
"02/16/2026","439.60","437.50","440.30","436.10","1.05M","1.50%"
"02/13/2026","433.10","428.90","438.40","428.90","1.80M","1.14%"
"02/12/2026","428.20","431.00","436.55","428.00","826.63K","0.35%"
"02/11/2026","426.70","436.30","438.50","425.70","1.57M","-2.31%"
"02/10/2026","436.80","447.20","447.20","436.40","2.02M","-2.54%"
"02/09/2026","448.20","439.25","449.05","439.25","3.05M","2.49%"
"02/06/2026","437.30","419.30","438.50","418.60","1.87M","3.80%"
"02/05/2026","421.30","434.60","435.00","419.20","1.91M","-2.60%"
"02/04/2026","432.55","433.60","436.10","429.40","2.04M","0.36%"
"02/03/2026","431.00","432.85","433.40","425.35","1.70M","-0.27%"
"02/02/2026","432.15","415.35","433.20","414.50","2.55M","3.53%"
"01/30/2026","417.40","414.80","421.00","411.60","2.63M","1.52%"
"01/29/2026","411.15","418.20","424.35","409.00","2.32M","-1.45%"
"01/28/2026","417.20","414.50","417.30","409.40","1.62M","0.16%"
"01/27/2026","416.55","415.40","417.20","407.70","1.41M","0.65%"
"01/26/2026","413.85","419.40","419.40","410.30","1.13M","-0.73%"
"01/23/2026","416.90","426.30","426.70","414.20","1.21M","-3.25%"
"01/22/2026","430.90","423.50","432.30","423.50","2.93M","2.62%"
"01/21/2026","419.90","414.55","422.10","410.50","1.55M","3.18%"
"01/20/2026","406.95","408.80","409.30","400.55","1.27M","-1.15%"
"01/19/2026","411.70","403.50","416.10","401.80","1.55M","-0.07%"
"01/16/2026","412.00","411.60","414.10","409.50","1.20M","0.29%"
"01/15/2026","410.80","406.80","411.75","403.60","1.80M","1.34%"
"01/14/2026","405.35","413.30","417.10","404.30","2.89M","-0.84%"
"01/13/2026","408.80","414.20","416.70","404.60","1.74M","-0.67%"
"01/12/2026","411.55","421.80","422.15","408.90","1.81M","-3.19%"
"01/09/2026","425.10","432.90","433.40","422.65","2.15M","-2.41%"
"01/08/2026","435.60","433.90","437.30","431.70","1.40M","1.21%"
"01/07/2026","430.40","437.40","440.00","422.30","2.89M","-1.19%"
"01/06/2026","435.60","427.00","437.00","426.00","2.65M","2.49%"
"01/05/2026","425.00","419.60","425.40","418.70","2.29M","1.11%"
"01/02/2026","420.35","413.50","430.00","413.50","1.83M","1.48%"
"12/31/2025","414.20","415.60","415.60","412.70","424.52K","-0.32%"
"12/30/2025","415.55","412.90","415.90","406.80","1.24M","0.50%"
"12/29/2025","413.50","416.20","416.70","411.80","1.24M","-0.79%"
"12/24/2025","416.80","418.40","418.40","414.10","480.94K","-0.61%"
"12/23/2025","419.35","420.70","421.20","418.30","1.45M","-0.42%"
"12/22/2025","421.10","421.20","421.60","416.00","1.05M","0.33%"
"12/19/2025","419.70","419.60","421.75","416.50","1.65M","-0.50%"
"12/18/2025","421.80","417.50","421.95","416.30","2.17M","0.43%"
"12/17/2025","420.00","418.00","424.50","418.00","1.53M","0.51%"
"12/16/2025","417.85","416.00","420.30","415.50","1.47M","0.55%"
"12/15/2025","415.55","404.70","417.80","404.70","2.02M","2.95%"
"12/12/2025","403.65","402.20","408.60","400.30","2.26M","1.70%"
"12/11/2025","396.90","388.90","397.75","386.05","2.72M","3.14%"
"12/10/2025","384.80","386.40","389.30","384.80","852.20K","-0.75%"
"12/09/2025","387.70","389.50","389.50","384.60","1.45M","-0.70%"
"12/08/2025","390.45","388.10","392.50","387.50","1.23M","1.07%"
"12/05/2025","386.30","389.60","389.60","384.20","833.34K","0.31%"
"12/04/2025","385.10","391.40","392.00","382.10","1.76M","-1.53%"
"12/03/2025","391.10","391.90","393.60","387.80","2.12M","0.01%"
"12/02/2025","391.05","393.60","393.60","388.80","2.25M","-0.72%"
"12/01/2025","393.90","393.10","399.80","390.20","1.15M","-0.62%"
"11/28/2025","396.35","397.40","399.40","394.50","1.11M","-0.16%"
"11/27/2025","397.00","397.50","400.10","395.10","688.13K","-0.10%"
"11/26/2025","397.40","393.30","399.20","387.30","2.08M","1.71%"
"11/25/2025","390.70","390.40","391.50","382.30","1.63M","0.23%"
"11/24/2025","389.80","382.35","391.30","382.05","2.01M","2.71%"
"11/21/2025","379.50","376.20","382.30","374.10","1.49M","-0.58%"
"11/20/2025","381.70","383.30","384.95","378.20","1.13M","0.91%"
"11/19/2025","378.25","372.10","380.80","367.20","1.61M","2.33%"
"11/18/2025","369.65","372.80","375.10","366.55","2.43M","-2.83%"
"11/17/2025","380.40","388.70","388.80","378.60","1.30M","-1.82%"
"11/14/2025","387.45","389.90","392.50","382.15","1.76M","-2.21%"
"11/13/2025","396.20","396.20","400.15","394.20","2.11M","9,989.13%"
"11/12/2025","3.93","3.84","3.95","3.84","1.46M","-98.98%"
"11/11/2025","384.80","380.10","386.80","378.80","2.72M","1.26%"
"11/10/2025","380.00","374.30","388.40","374.20","2.57M","3.01%"
"11/07/2025","368.90","385.55","388.95","368.40","7.44M","-11.00%"
"11/06/2025","414.50","422.80","426.10","412.70","3.21M","-2.49%"
"11/05/2025","425.10","420.00","426.05","419.50","1.42M","0.64%"
"11/04/2025","422.40","425.50","425.50","420.10","978.41K","-1.35%"
"11/03/2025","428.20","418.00","429.20","416.00","2.06M","2.51%"
"10/31/2025","417.70","414.50","420.00","412.80","1.79M","0.99%"
"10/30/2025","413.60","410.20","414.50","403.60","1.69M","1.52%"
"10/29/2025","407.40","411.90","413.50","404.70","1.32M","-1.38%"
"10/28/2025","413.10","410.20","414.00","410.00","1.19M","0.87%"
"10/27/2025","409.55","411.20","411.70","408.50","927.32K","0.01%"
"10/24/2025","409.50","407.00","410.00","402.00","1.58M","1.54%"
"10/23/2025","403.30","400.50","406.00","398.90","1.30M","0.35%"
