"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2026","8.290","8.187","8.404","8.103","3.74M","1.84%"
"05/08/2026","8.140","8.282","8.282","8.110","4.92M","-2.77%"
"05/07/2026","8.372","8.332","8.684","8.290","8.18M","1.82%"
"05/06/2026","8.222","7.872","8.390","7.800","14.93M","6.34%"
"05/05/2026","7.732","7.500","7.790","7.500","6.68M","3.20%"
"05/04/2026","7.492","7.440","7.616","7.398","7.99M","2.21%"
"04/30/2026","7.330","7.066","7.394","7.020","5.24M","3.07%"
"04/29/2026","7.112","7.166","7.168","7.062","3.66M","-0.48%"
"04/28/2026","7.146","7.222","7.240","7.122","5.29M","-1.35%"
"04/27/2026","7.244","7.326","7.350","7.190","5.29M","-0.08%"
"04/24/2026","7.250","7.400","7.420","7.242","6.13M","-2.63%"
"04/23/2026","7.446","7.400","7.460","7.258","7.20M","-0.51%"
"04/22/2026","7.484","7.748","7.780","7.458","9.68M","-2.86%"
"04/21/2026","7.704","7.860","7.908","7.656","6.21M","-1.15%"
"04/20/2026","7.794","7.770","7.892","7.718","6.01M","-3.42%"
"04/17/2026","8.070","7.600","8.132","7.530","14.86M","6.86%"
"04/16/2026","7.552","7.750","7.834","7.538","6.73M","-3.43%"
"04/15/2026","7.820","7.976","7.976","7.742","5.01M","-2.30%"
"04/14/2026","8.004","7.798","8.030","7.776","5.26M","3.06%"
"04/13/2026","7.766","7.700","7.766","7.580","6.52M","-2.24%"
"04/10/2026","7.944","7.930","8.124","7.804","5.84M","1.04%"
"04/09/2026","7.862","7.906","7.918","7.762","5.40M","-3.18%"
"04/08/2026","8.120","8.210","8.292","8.070","13.72M","10.27%"
"04/07/2026","7.364","7.570","7.570","7.334","5.90M","-1.84%"
"04/02/2026","7.502","7.456","7.554","7.348","6.26M","-3.42%"
"04/01/2026","7.768","7.716","7.780","7.522","8.22M","7.95%"
"03/31/2026","7.196","7.250","7.344","7.196","5.94M","-0.66%"
"03/30/2026","7.244","7.326","7.382","7.234","6.51M","-1.50%"
"03/27/2026","7.354","7.534","7.556","7.354","5.68M","-2.36%"
"03/26/2026","7.532","7.600","7.630","7.490","5.76M","-1.13%"
"03/25/2026","7.618","7.600","7.666","7.540","6.06M","2.26%"
"03/24/2026","7.450","7.554","7.572","7.358","5.48M","-1.84%"
"03/23/2026","7.590","7.148","7.768","6.992","12.44M","3.35%"
"03/20/2026","7.344","7.390","7.538","7.234","12.34M","-1.16%"
"03/19/2026","7.430","7.690","7.726","7.386","9.50M","-5.83%"
"03/18/2026","7.890","8.050","8.096","7.824","5.80M","0.05%"
"03/17/2026","7.886","7.730","7.964","7.644","7.59M","2.15%"
"03/16/2026","7.720","7.646","7.808","7.540","5.31M","1.50%"
"03/13/2026","7.606","7.588","7.758","7.510","7.70M","-2.29%"
"03/12/2026","7.784","7.996","8.046","7.748","7.80M","-3.54%"
"03/11/2026","8.070","8.100","8.108","7.946","6.59M","-1.61%"
"03/10/2026","8.202","8.100","8.252","7.984","10.26M","7.89%"
"03/09/2026","7.602","7.800","7.914","7.502","13.95M","-6.38%"
"03/06/2026","8.120","8.162","8.444","7.902","10.90M","0.00%"
"03/05/2026","8.120","8.320","8.448","8.064","9.78M","-3.20%"
"03/04/2026","8.388","8.300","8.564","8.148","6.86M","1.50%"
"03/03/2026","8.264","8.630","8.634","8.116","8.93M","-4.06%"
"03/02/2026","8.614","8.214","8.714","8.060","12.47M","-5.22%"
"02/27/2026","9.088","9.332","9.378","8.980","7.15M","-3.59%"
"02/26/2026","9.426","9.228","9.426","9.130","5.04M","2.64%"
"02/25/2026","9.184","9.116","9.186","9.064","2.26M","0.50%"
"02/24/2026","9.138","9.202","9.240","9.054","2.96M","-0.46%"
"02/23/2026","9.180","9.112","9.496","9.112","4.30M","1.01%"
"02/20/2026","9.088","9.112","9.210","9.020","2.78M","-0.15%"
"02/19/2026","9.102","9.300","9.476","9.038","4.75M","-0.96%"
"02/18/2026","9.190","9.290","9.320","8.968","3.56M","-0.84%"
"02/17/2026","9.268","9.224","9.268","9.078","2.47M","0.26%"
"02/16/2026","9.244","9.148","9.262","9.084","1.84M","1.54%"
"02/13/2026","9.104","9.000","9.240","8.994","3.16M","1.11%"
"02/12/2026","9.004","8.976","9.116","8.918","3.32M","1.51%"
"02/11/2026","8.870","8.998","9.000","8.786","6.20M","-4.03%"
"02/10/2026","9.242","9.538","9.590","9.238","3.58M","-2.72%"
"02/09/2026","9.500","9.304","9.500","9.232","5.74M","3.13%"
"02/06/2026","9.212","9.050","9.212","8.964","5.14M","2.54%"
"02/05/2026","8.984","9.070","9.136","8.868","2.75M","-0.77%"
"02/04/2026","9.054","9.002","9.098","8.972","3.16M","0.69%"
"02/03/2026","8.992","8.994","9.016","8.908","3.03M","0.76%"
"02/02/2026","8.924","8.750","8.948","8.748","3.71M","2.57%"
"01/30/2026","8.700","8.698","8.800","8.644","3.30M","0.69%"
"01/29/2026","8.640","8.724","8.840","8.558","3.05M","-0.48%"
"01/28/2026","8.682","8.640","8.734","8.574","2.74M","-0.64%"
"01/27/2026","8.738","8.750","8.778","8.666","3.34M","-0.36%"
