"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2026","14.52","14.40","14.55","14.26","7.99M","-0.14%"
"05/08/2026","14.54","14.67","14.67","14.38","9.40M","-1.39%"
"05/07/2026","14.74","14.53","14.95","14.50","11.81M","-2.96%"
"05/06/2026","15.19","14.78","15.44","14.56","22.23M","5.30%"
"05/05/2026","14.43","14.51","14.59","14.39","9.18M","-1.23%"
"05/04/2026","14.61","14.60","14.82","14.36","10.13M","0.79%"
"04/30/2026","14.49","14.05","14.53","13.97","11.02M","1.68%"
"04/29/2026","14.26","14.20","14.38","14.08","9.72M","1.06%"
"04/28/2026","14.10","14.00","14.35","13.81","22.10M","5.85%"
"04/27/2026","13.32","13.48","13.52","13.27","9.65M","-1.11%"
"04/24/2026","13.48","13.47","13.57","13.27","7.86M","-1.25%"
"04/23/2026","13.65","13.34","13.65","13.26","7.38M","0.85%"
"04/22/2026","13.53","14.00","14.00","13.51","12.10M","-3.32%"
"04/21/2026","13.99","14.12","14.19","13.96","6.97M","-0.64%"
"04/20/2026","14.09","14.15","14.23","14.02","11.60M","-4.18%"
"04/17/2026","14.70","13.95","14.70","13.80","23.19M","5.34%"
"04/16/2026","13.95","14.60","14.60","13.95","13.39M","-1.83%"
"04/15/2026","14.22","14.48","14.48","14.13","10.21M","-1.69%"
"04/14/2026","14.46","14.45","14.48","14.25","11.68M","1.05%"
"04/13/2026","14.31","14.63","14.63","14.21","13.28M","-4.79%"
"04/10/2026","15.03","14.96","15.17","14.76","13.87M","1.55%"
"04/09/2026","14.80","15.12","15.12","14.71","12.42M","-3.33%"
"04/08/2026","15.31","15.05","15.44","15.03","23.46M","9.67%"
"04/07/2026","13.96","14.65","14.65","13.85","16.26M","-5.16%"
"04/01/2026","14.72","14.85","14.99","14.72","10.87M","3.52%"
"03/31/2026","14.22","14.02","14.32","14.02","7.97M","1.90%"
"03/30/2026","13.95","13.90","14.07","13.82","6.61M","-0.50%"
"03/27/2026","14.02","14.23","14.23","13.90","6.04M","-1.72%"
"03/26/2026","14.27","14.02","14.32","13.90","6.03M","0.99%"
"03/25/2026","14.13","14.34","14.48","14.06","8.94M","0.68%"
"03/24/2026","14.03","14.28","14.28","13.88","7.01M","-2.30%"
"03/23/2026","14.36","14.01","14.46","13.31","22.80M","-0.21%"
"03/20/2026","14.40","14.44","14.76","14.40","27.02M","0.98%"
"03/19/2026","14.26","14.56","14.70","14.26","15.44M","-4.30%"
"03/18/2026","14.90","15.20","15.20","14.81","12.88M","-0.23%"
"03/17/2026","14.93","14.85","15.06","14.63","12.42M","1.56%"
"03/16/2026","14.70","14.50","14.70","14.38","9.01M","0.82%"
"03/13/2026","14.58","14.45","14.73","14.28","7.66M","0.76%"
"03/12/2026","14.47","14.70","14.73","14.40","11.38M","-2.76%"
"03/11/2026","14.88","14.88","14.99","14.76","6.66M","-0.17%"
"03/10/2026","14.90","15.35","15.40","14.64","12.34M","1.91%"
"03/09/2026","14.63","14.23","14.69","14.10","11.70M","-1.81%"
"03/06/2026","14.90","15.34","15.49","14.71","14.61M","-2.65%"
"03/05/2026","15.30","15.95","16.00","15.30","9.31M","-3.38%"
"03/04/2026","15.84","15.16","15.90","15.02","9.17M","4.56%"
"03/03/2026","15.15","15.55","15.56","15.06","15.61M","-4.15%"
"03/02/2026","15.80","15.63","15.98","15.48","18.98M","-4.91%"
"02/27/2026","16.61","17.06","17.09","16.58","7.75M","-2.84%"
"02/26/2026","17.10","16.89","17.24","16.70","4.84M","1.97%"
"02/25/2026","16.77","16.94","16.96","16.67","3.96M","-0.47%"
"02/24/2026","16.85","17.11","17.14","16.85","3.76M","-1.40%"
"02/23/2026","17.09","17.70","17.77","17.09","4.83M","-2.87%"
"02/20/2026","17.59","17.60","17.64","17.34","3.35M","0.37%"
"02/19/2026","17.53","17.44","18.00","17.44","6.13M","0.52%"
"02/18/2026","17.44","17.65","17.76","17.33","5.79M","-1.02%"
"02/17/2026","17.62","17.74","17.74","17.23","6.50M","0.34%"
"02/16/2026","17.56","17.12","18.05","17.11","11.79M","3.87%"
"02/13/2026","16.91","16.40","17.33","16.05","12.97M","-0.88%"
"02/12/2026","17.06","16.89","17.10","16.80","5.72M","1.49%"
"02/11/2026","16.81","16.91","16.94","16.72","3.94M","-0.86%"
"02/10/2026","16.95","17.33","17.33","16.86","5.12M","-1.80%"
"02/09/2026","17.26","16.71","17.38","16.70","6.95M","4.04%"
"02/06/2026","16.59","16.27","16.59","16.09","7.89M","1.78%"
"02/05/2026","16.30","16.65","16.68","16.13","7.27M","-2.22%"
"02/04/2026","16.67","16.65","16.68","16.36","3.85M","0.12%"
"02/03/2026","16.65","16.24","16.69","16.22","5.96M","3.29%"
"02/02/2026","16.12","16.27","16.50","16.05","3.40M","-0.98%"
"01/30/2026","16.28","16.18","16.48","16.18","6.95M","1.18%"
"01/29/2026","16.09","16.40","16.41","16.01","8.51M","-2.51%"
"01/28/2026","16.50","16.00","16.50","15.99","9.22M","3.06%"
"01/27/2026","16.01","15.85","16.14","15.82","4.90M","0.72%"
"01/26/2026","15.90","16.08","16.10","15.78","4.25M","-0.78%"
"01/23/2026","16.02","16.20","16.32","15.86","6.45M","-1.41%"
"01/22/2026","16.25","15.99","16.31","15.94","6.96M","2.91%"
"01/21/2026","15.80","15.70","15.80","15.24","8.36M","0.16%"
"01/20/2026","15.77","15.85","15.94","15.71","3.84M","-0.54%"
"01/19/2026","15.85","15.98","16.09","15.85","3.42M","-1.37%"
"01/16/2026","16.08","16.33","16.33","15.91","6.30M","-1.86%"
"01/15/2026","16.38","16.23","16.40","16.10","6.53M","1.33%"
"01/14/2026","16.17","15.96","16.22","15.90","6.92M","1.86%"
"01/13/2026","15.87","15.73","15.88","15.65","4.52M","0.60%"
"01/12/2026","15.77","16.15","16.15","15.72","6.83M","-2.17%"
"01/09/2026","16.13","16.55","16.55","16.13","5.80M","-2.83%"
"01/08/2026","16.59","16.58","16.86","16.55","3.26M","0.79%"
"01/07/2026","16.47","17.15","17.16","16.47","8.96M","-5.59%"
"01/06/2026","17.44","17.27","17.50","17.10","3.81M","0.03%"
"01/05/2026","17.43","17.74","17.83","17.34","5.50M","-0.99%"
"01/02/2026","17.61","17.45","17.73","17.40","3.71M","0.92%"
"12/30/2025","17.45","17.43","17.47","17.26","1.92M","0.11%"
"12/29/2025","17.43","17.26","17.45","17.17","2.79M","0.87%"
"12/23/2025","17.28","17.20","17.35","17.16","2.74M","0.09%"
"12/22/2025","17.26","17.39","17.39","17.13","2.88M","-0.75%"
"12/19/2025","17.40","17.48","17.53","17.29","5.10M","-0.34%"
"12/18/2025","17.45","17.42","17.53","17.32","3.00M","-0.11%"
"12/17/2025","17.48","17.50","17.72","17.41","4.62M","-2.78%"
"12/16/2025","17.98","17.50","18.08","17.50","7.57M","2.33%"
"12/15/2025","17.57","17.47","17.80","17.47","2.76M","0.20%"
"12/12/2025","17.53","17.20","17.58","17.17","4.38M","1.89%"
"12/11/2025","17.20","17.31","17.47","17.10","2.13M","-0.06%"
