"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2026","23.68","24.97","24.97","23.48","12.20K","-0.13%"
"05/08/2026","23.71","24.33","25.25","23.71","20.68K","-2.19%"
"05/07/2026","24.24","24.26","25.01","24.24","15.20K","0.08%"
"05/06/2026","24.22","23.28","24.54","22.55","52.82K","7.69%"
"05/05/2026","22.49","22.55","23.02","22.11","50.00K","-2.22%"
"05/04/2026","23.00","23.22","23.68","23.00","27.64K","1.37%"
"04/30/2026","22.69","22.25","22.69","22.04","17.00K","1.79%"
"04/29/2026","22.29","22.52","22.55","22.05","22.53K","-0.04%"
"04/28/2026","22.30","23.59","23.65","22.03","29.43K","-3.25%"
"04/27/2026","23.05","23.20","23.55","22.78","22.81K","-1.79%"
"04/24/2026","23.47","23.83","23.95","23.19","25.69K","-0.13%"
"04/23/2026","23.50","24.00","24.22","23.29","42.56K","-4.12%"
"04/22/2026","24.51","24.35","24.85","24.11","15.47K","-0.77%"
"04/21/2026","24.70","24.34","25.87","24.34","15.06K","-2.22%"
"04/20/2026","25.26","25.60","25.60","25.08","10.26K","-2.66%"
"04/17/2026","25.95","24.43","26.47","24.35","78.03K","6.70%"
"04/16/2026","24.32","24.69","25.02","24.22","77.88K","-4.96%"
"04/15/2026","25.59","26.01","26.01","25.39","29.67K","-2.48%"
"04/14/2026","26.24","25.84","26.24","25.66","13.88K","1.90%"
"04/13/2026","25.75","25.39","25.75","25.28","15.46K","-1.34%"
"04/10/2026","26.10","26.11","26.65","25.91","26.24K","0.81%"
"04/09/2026","25.89","26.55","26.55","25.65","16.24K","-4.08%"
"04/08/2026","26.99","26.88","27.50","26.27","58.48K","11.39%"
"04/07/2026","24.23","24.55","24.82","24.22","14.75K","-1.18%"
"04/02/2026","24.52","24.54","24.78","24.33","12.05K","-1.96%"
"04/01/2026","25.01","25.20","25.20","24.50","15.69K","3.99%"
"03/31/2026","24.05","23.84","24.37","23.69","22.94K","-0.70%"
"03/30/2026","24.22","24.37","24.37","23.94","14.68K","-3.04%"
"03/27/2026","24.98","24.91","24.98","24.63","6.36K","0.97%"
"03/26/2026","24.74","25.03","25.21","24.39","9.71K","-0.68%"
"03/25/2026","24.91","25.31","25.50","24.81","19.11K","1.26%"
"03/24/2026","24.60","24.53","24.72","24.20","10.38K","-0.32%"
"03/23/2026","24.68","23.39","25.00","23.09","30.81K","3.05%"
"03/20/2026","23.95","24.66","24.76","23.85","23.42K","-2.40%"
"03/19/2026","24.54","24.87","25.09","24.45","16.39K","-2.58%"
"03/18/2026","25.19","25.66","25.80","25.16","11.75K","-0.12%"
"03/17/2026","25.22","25.66","25.66","25.10","31.81K","-1.10%"
"03/16/2026","25.50","25.63","25.81","25.32","6.12K","-0.55%"
"03/13/2026","25.64","25.61","25.79","25.47","18.41K","-1.72%"
"03/12/2026","26.09","26.07","26.24","25.60","12.84K","-1.25%"
"03/11/2026","26.42","26.51","26.59","26.26","7.99K","-0.08%"
"03/10/2026","26.44","26.61","26.70","26.23","15.89K","3.93%"
"03/09/2026","25.44","25.37","25.67","25.21","22.15K","-2.79%"
"03/06/2026","26.17","26.30","26.41","25.48","33.83K","0.93%"
"03/05/2026","25.93","26.64","26.75","25.49","35.22K","-4.28%"
"03/04/2026","27.09","26.60","27.20","26.18","16.76K","2.69%"
"03/03/2026","26.38","26.46","26.50","25.94","16.17K","-1.97%"
"03/02/2026","26.91","25.97","27.14","25.72","35.32K","-2.15%"
"02/27/2026","27.50","28.20","28.20","27.42","14.27K","-2.24%"
"02/26/2026","28.13","27.65","28.28","27.65","7.97K","2.33%"
"02/25/2026","27.49","26.99","27.49","26.93","32.85K","2.46%"
"02/24/2026","26.83","26.30","26.95","26.30","14.04K","0.49%"
"02/23/2026","26.70","26.85","27.11","26.53","40.59K","1.02%"
"02/20/2026","26.43","26.58","26.84","26.36","19.55K","-0.68%"
"02/19/2026","26.61","27.35","27.40","26.40","14.71K","-2.28%"
"02/18/2026","27.23","27.47","27.66","26.90","14.09K","-0.98%"
"02/17/2026","27.50","27.44","27.64","27.37","8.87K","0.47%"
"02/16/2026","27.37","27.16","27.71","27.00","5.70K","2.16%"
"02/13/2026","26.79","26.77","27.08","26.63","12.80K","0.56%"
"02/12/2026","26.64","26.77","26.90","26.55","29.79K","-0.34%"
"02/11/2026","26.73","27.25","27.38","26.56","19.87K","-2.16%"
"02/10/2026","27.32","27.65","27.80","27.32","15.99K","-3.22%"
"02/09/2026","28.23","28.22","28.51","28.14","10.38K","0.93%"
"02/06/2026","27.97","27.99","28.03","27.67","13.00K","-1.27%"
"02/05/2026","28.33","28.80","28.84","28.15","8.85K","-1.63%"
"02/04/2026","28.80","29.05","29.05","28.78","6.96K","-0.55%"
"02/03/2026","28.96","29.13","29.17","28.65","14.40K","-0.45%"
"02/02/2026","29.09","28.77","29.12","28.72","5.58K","1.64%"
"01/30/2026","28.62","28.45","28.88","28.45","14.16K","1.53%"
"01/29/2026","28.19","28.15","28.41","27.88","25.40K","-0.28%"
"01/28/2026","28.27","27.55","28.40","27.39","33.62K","2.87%"
"01/27/2026","27.48","28.16","28.20","27.48","25.35K","-3.27%"
"01/26/2026","28.41","28.30","28.60","27.76","45.32K","-0.46%"
"01/23/2026","28.54","29.39","29.39","28.50","20.33K","-3.09%"
"01/22/2026","29.45","29.14","29.66","29.09","50.07K","1.27%"
"01/21/2026","29.08","28.66","29.28","28.47","25.23K","1.50%"
"01/20/2026","28.65","29.18","29.24","28.45","58.10K","-0.24%"
"01/19/2026","28.72","28.42","28.75","28.42","13.66K","-0.28%"
"01/16/2026","28.80","28.68","28.92","28.50","11.40K","0.03%"
"01/15/2026","28.79","28.30","28.79","28.29","7.93K","2.24%"
"01/14/2026","28.16","28.48","28.60","28.12","3.45K","-0.91%"
"01/13/2026","28.42","28.80","28.80","28.03","10.47K","-0.70%"
"01/12/2026","28.62","28.89","28.89","28.47","4.29K","-1.14%"
"01/09/2026","28.95","29.22","29.33","28.84","9.02K","-1.60%"
"01/08/2026","29.42","29.59","29.59","29.33","5.85K","-0.07%"
"01/07/2026","29.44","29.46","29.53","29.10","7.26K","-0.07%"
"01/06/2026","29.46","29.80","29.80","29.40","4.06K","-1.41%"
"01/05/2026","29.88","29.64","29.88","29.41","8.17K","0.84%"
"01/02/2026","29.63","29.39","29.63","29.23","7.24K","0.78%"
"12/30/2025","29.40","29.24","29.44","29.24","1.93K","0.31%"
"12/29/2025","29.31","29.58","29.58","29.15","11.24K","-0.48%"
"12/23/2025","29.45","29.41","29.49","29.24","7.22K","0.86%"
"12/22/2025","29.20","29.47","29.47","29.20","2.93K","-0.65%"
"12/19/2025","29.39","29.46","29.65","29.32","23.25K","-0.34%"
"12/18/2025","29.49","29.31","29.63","29.30","5.81K","0.17%"
"12/17/2025","29.44","29.17","29.90","29.11","7.90K","0.17%"
"12/16/2025","29.39","29.25","29.57","29.25","10.04K","-0.74%"
"12/15/2025","29.61","29.55","30.08","29.52","12.78K","-0.30%"
"12/12/2025","29.70","29.44","29.80","29.34","27.58K","3.09%"
"12/11/2025","28.81","28.30","28.94","28.25","11.06K","2.82%"
"12/10/2025","28.02","27.96","28.09","27.86","6.21K","0.25%"
"12/09/2025","27.95","27.87","28.13","27.77","5.82K","-0.68%"
"12/08/2025","28.14","27.95","28.33","27.73","13.64K","1.55%"
"12/05/2025","27.71","27.55","27.81","27.38","7.88K","1.24%"
"12/04/2025","27.37","27.53","27.67","27.30","8.90K","-0.65%"
"12/03/2025","27.55","27.68","27.68","27.40","16.01K","0.00%"
"12/02/2025","27.55","27.90","28.02","27.48","13.39K","-1.96%"
"12/01/2025","28.10","28.03","28.22","28.03","8.04K","-0.21%"
"11/28/2025","28.16","28.27","28.32","27.98","9.12K","-0.56%"
"11/27/2025","28.32","28.29","28.38","28.23","10.53K","0.07%"
"11/26/2025","28.30","28.12","28.38","27.72","38.51K","0.75%"
"11/25/2025","28.09","27.07","28.30","27.00","32.35K","2.74%"
"11/24/2025","27.34","26.68","27.39","26.54","20.36K","3.91%"
"11/21/2025","26.31","25.85","26.39","25.78","12.85K","0.19%"
"11/20/2025","26.26","26.20","26.48","26.14","7.86K","-0.79%"
"11/19/2025","26.47","25.63","26.71","25.60","13.96K","3.24%"
"11/18/2025","25.64","25.69","25.75","25.50","7.68K","-2.73%"
"11/17/2025","26.36","26.51","26.57","26.25","3.50K","-1.20%"
"11/14/2025","26.68","27.29","27.29","26.56","6.08K","-1.91%"
"11/13/2025","27.20","27.17","27.44","27.16","10.93K","0.29%"
"11/12/2025","27.12","27.04","27.19","26.70","5.84K","0.67%"
"11/11/2025","26.94","26.98","27.15","26.94","6.37K","0.22%"
"11/10/2025","26.88","26.54","26.95","26.54","12.59K","2.01%"
