"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2026","307.75","308.25","309.50","306.25","29.68M","-1.05%"
"05/08/2026","311.00","310.00","314.75","306.75","52.59M","-0.48%"
"05/07/2026","312.50","311.75","315.25","311.25","55.09M","0.89%"
"05/06/2026","309.75","307.00","316.25","304.75","102.93M","2.91%"
"05/05/2026","301.00","300.75","304.25","298.25","39.32M","0.08%"
"05/04/2026","300.75","308.50","310.75","300.50","57.65M","-2.43%"
"04/30/2026","308.25","310.00","311.50","305.25","55.90M","-1.99%"
"04/29/2026","314.50","316.75","317.75","313.00","30.23M","-0.40%"
"04/28/2026","315.75","319.50","320.25","315.25","27.04M","-1.48%"
"04/27/2026","320.50","324.50","326.75","320.25","39.75M","-1.38%"
"04/24/2026","325.00","323.00","326.25","319.00","37.89M","0.46%"
"04/22/2026","323.50","329.50","331.25","319.50","37.88M","-1.07%"
"04/21/2026","327.00","329.00","334.50","327.00","41.01M","-0.38%"
"04/20/2026","328.25","321.50","329.25","321.25","62.88M","-0.23%"
"04/17/2026","329.00","318.00","335.00","317.75","108.84M","3.70%"
"04/16/2026","317.25","323.00","324.50","315.50","42.53M","-0.63%"
"04/15/2026","319.25","326.50","326.75","318.50","50.83M","-1.47%"
"04/14/2026","324.00","319.75","326.50","319.50","65.01M","2.29%"
"04/13/2026","316.75","316.00","318.75","314.25","59.93M","-2.01%"
"04/10/2026","323.25","322.50","325.25","321.00","39.62M","1.17%"
"04/09/2026","319.50","316.00","322.25","313.25","43.13M","0.79%"
"04/08/2026","317.00","308.75","321.00","307.50","110.51M","8.56%"
"04/07/2026","292.00","296.00","299.25","291.75","42.54M","-1.77%"
"04/06/2026","297.25","296.75","301.25","296.50","36.49M","0.42%"
"04/03/2026","296.00","299.25","299.75","295.00","21.83M","-1.25%"
"04/02/2026","299.75","292.50","300.50","291.25","48.14M","0.59%"
"04/01/2026","298.00","306.25","307.75","297.50","47.03M","1.27%"
"03/31/2026","294.25","290.00","294.75","289.25","43.35M","1.90%"
"03/30/2026","288.75","292.50","293.50","288.75","29.26M","-1.79%"
"03/27/2026","294.00","295.00","295.50","290.50","30.17M","0.17%"
"03/26/2026","293.50","292.50","296.50","291.75","31.35M","-0.34%"
"03/25/2026","294.50","295.75","299.50","292.75","66.11M","1.20%"
"03/24/2026","291.00","292.25","296.50","290.75","40.81M","-1.52%"
"03/23/2026","295.50","281.25","296.25","279.50","75.51M","2.07%"
"03/19/2026","289.50","289.00","291.50","287.75","11.57M","-0.43%"
"03/18/2026","290.75","297.25","298.00","289.25","24.39M","-1.36%"
"03/17/2026","294.75","291.00","296.00","291.00","22.88M","1.64%"
"03/16/2026","290.00","292.50","293.50","288.25","28.40M","-0.77%"
"03/13/2026","292.25","291.25","293.50","286.75","26.22M","-0.17%"
"03/12/2026","292.75","290.00","297.75","289.25","41.48M","-0.68%"
"03/11/2026","294.75","296.00","296.25","289.50","40.62M","-0.76%"
"03/10/2026","297.00","294.00","297.00","288.75","61.94M","5.32%"
"03/09/2026","282.00","267.00","282.00","263.50","51.38M","1.90%"
"03/06/2026","276.75","284.00","286.00","276.00","56.26M","-2.64%"
"03/05/2026","284.25","293.25","295.25","283.75","42.75M","-1.22%"
"03/04/2026","287.75","288.00","292.00","282.00","46.55M","0.26%"
"03/03/2026","287.00","286.00","295.25","285.00","42.90M","-0.69%"
"03/02/2026","289.00","282.50","292.50","282.25","54.22M","-6.02%"
"02/27/2026","307.50","313.25","314.00","303.50","60.67M","-1.28%"
"02/26/2026","311.50","307.75","316.25","302.50","68.38M","1.47%"
"02/25/2026","307.00","309.25","311.00","305.50","36.52M","-0.49%"
"02/24/2026","308.50","315.75","316.00","307.25","60.54M","-2.30%"
"02/23/2026","315.75","325.75","326.00","315.25","58.34M","-1.48%"
"02/20/2026","320.50","314.50","320.50","313.75","49.75M","2.56%"
"02/19/2026","312.50","330.50","331.00","310.25","81.99M","-4.80%"
"02/18/2026","328.25","345.75","350.00","324.75","94.43M","-4.86%"
"02/17/2026","345.00","346.25","350.75","343.00","59.81M","-0.79%"
"02/16/2026","347.75","349.75","352.50","345.00","60.50M","0.00%"
"02/13/2026","347.75","337.50","351.25","337.25","79.36M","3.19%"
"02/12/2026","337.00","332.25","341.25","331.00","70.65M","1.81%"
"02/11/2026","331.00","330.50","337.75","329.00","61.37M","-0.60%"
"02/10/2026","333.00","329.00","333.25","327.75","52.37M","1.06%"
"02/09/2026","329.50","326.50","329.75","321.75","63.95M","2.17%"
"02/06/2026","322.50","317.00","324.50","311.75","67.71M","1.74%"
"02/05/2026","317.00","318.50","322.00","316.00","64.93M","-1.09%"
"02/04/2026","320.50","320.00","322.75","315.00","67.17M","0.55%"
"02/03/2026","318.75","308.00","319.25","308.00","84.53M","4.25%"
"02/02/2026","305.75","300.25","310.00","298.00","94.70M","0.58%"
"01/30/2026","304.00","302.25","308.25","298.50","83.27M","0.58%"
"01/29/2026","302.25","300.00","307.25","298.00","104.31M","1.43%"
"01/28/2026","298.00","294.25","303.00","294.25","92.40M","1.27%"
"01/27/2026","294.25","299.75","301.00","293.75","47.51M","-1.67%"
