"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2026","6.68","6.62","6.72","6.64","","-0.92%"
"05/07/2026","6.74","6.82","6.84","6.74","0.50K","-0.53%"
"05/06/2026","6.78","6.77","6.94","6.77","","8.31%"
"05/05/2026","6.26","6.28","6.29","6.26","","0.74%"
"05/04/2026","6.21","6.39","6.39","6.21","0.25K","-1.86%"
"04/30/2026","6.33","6.15","6.33","6.11","1.00K","2.59%"
"04/29/2026","6.17","6.30","6.30","6.17","0.20K","-2.34%"
"04/28/2026","6.32","6.37","6.44","6.32","0.05K","-2.32%"
"04/27/2026","6.47","6.43","6.53","6.42","0.32K","1.06%"
"04/24/2026","6.40","6.40","6.41","6.33","0.39K","-4.42%"
"04/23/2026","6.70","6.73","6.73","6.66","","-3.21%"
"04/22/2026","6.92","7.17","7.17","6.92","","-3.49%"
"04/21/2026","7.17","7.32","7.35","7.17","0.14K","-2.08%"
"04/20/2026","7.32","7.29","7.34","7.29","","-2.53%"
"04/17/2026","7.51","7.11","7.51","7.11","","4.74%"
"04/16/2026","7.17","7.14","7.33","7.14","0.26K","-1.81%"
"04/15/2026","7.30","7.32","7.32","7.23","","-0.30%"
"04/14/2026","7.32","7.25","7.32","7.25","","2.38%"
"04/13/2026","7.15","7.01","7.15","6.99","0.35K","-2.61%"
"04/10/2026","7.35","7.18","7.35","7.17","","2.40%"
"04/09/2026","7.17","7.05","7.17","7.05","","-0.58%"
"04/08/2026","7.22","7.38","7.45","7.22","0.12K","11.02%"
"04/07/2026","6.50","6.78","6.78","6.50","0.50K","-2.61%"
"04/02/2026","6.67","6.73","6.73","6.67","","-4.41%"
"04/01/2026","6.98","6.92","6.98","6.92","0.55K","5.79%"
"03/31/2026","6.60","6.53","6.65","6.53","0.15K","1.69%"
"03/30/2026","6.49","6.51","6.52","6.49","","-2.17%"
"03/27/2026","6.63","6.72","6.72","6.63","","-3.04%"
"03/26/2026","6.84","6.78","6.84","6.78","","-0.29%"
"03/25/2026","6.86","6.88","6.92","6.86","6.30K","1.48%"
"03/24/2026","6.76","6.89","6.89","6.74","","-1.60%"
"03/23/2026","6.87","6.44","6.97","6.44","2.55K","4.82%"
"03/20/2026","6.56","6.76","6.76","6.56","","-2.21%"
"03/19/2026","6.70","6.69","6.70","6.62","","-1.76%"
"03/18/2026","6.82","6.93","6.96","6.82","0.70K","0.32%"
"03/17/2026","6.80","6.80","6.85","6.75","1.52K","0.71%"
"03/16/2026","6.75","6.59","6.75","6.59","","2.46%"
"03/13/2026","6.59","6.62","6.66","6.59","0.46K","-2.11%"
"03/12/2026","6.73","6.79","6.86","6.63","1.60K","-5.02%"
"03/11/2026","7.09","7.07","7.12","7.07","0.50K","-0.76%"
"03/10/2026","7.14","7.17","7.20","7.10","0.16K","3.00%"
"03/09/2026","6.94","6.94","7.03","6.92","2.56K","-4.15%"
"03/06/2026","7.24","7.38","7.42","7.24","1.27K","-3.52%"
"03/05/2026","7.50","7.43","7.53","7.43","1.63K","0.00%"
"03/04/2026","7.50","7.24","7.50","7.20","4.50K","4.98%"
"03/03/2026","7.14","7.12","7.14","6.99","0.25K","-1.84%"
"03/02/2026","7.28","7.53","7.53","7.28","5.31K","-9.30%"
