"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2026","1,006.0","1,000.0","1,030.0","993.1","1.05M","-0.79%"
"05/08/2026","1,014.0","977.5","1,017.0","965.0","889.75K","2.63%"
"05/07/2026","988.0","975.0","1,004.0","975.0","1.12M","1.96%"
"05/06/2026","969.0","930.0","994.0","912.5","1.69M","7.19%"
"05/05/2026","904.0","888.0","906.5","879.0","475.30K","-0.28%"
"05/01/2026","906.5","892.0","908.0","890.5","450.39K","1.57%"
"04/30/2026","892.5","852.0","906.5","848.5","769.53K","3.66%"
"04/29/2026","861.0","872.5","875.0","858.0","480.90K","-0.75%"
"04/28/2026","867.5","859.5","878.5","855.0","676.86K","0.64%"
"04/27/2026","862.0","875.0","881.0","855.0","744.82K","-1.54%"
"04/24/2026","875.5","893.5","896.5","842.5","2.25M","-3.26%"
"04/23/2026","905.0","920.0","932.0","904.0","933.65K","-3.62%"
"04/22/2026","939.0","964.0","964.0","932.5","762.85K","-1.57%"
"04/21/2026","954.0","1,000.0","1,000.0","953.5","941.52K","-3.39%"
"04/20/2026","987.5","982.0","1,017.0","965.0","1.59M","-5.05%"
"04/17/2026","1,040.0","970.0","1,080.0","962.0","2.57M","7.55%"
"04/16/2026","967.0","962.0","994.0","949.0","1.01M","-2.96%"
"04/15/2026","996.5","1,018.0","1,022.0","987.0","641.85K","-2.11%"
"04/14/2026","1,018.0","956.5","1,037.0","955.0","1.52M","8.47%"
"04/13/2026","938.5","944.0","944.5","911.5","1.92M","-5.44%"
"04/10/2026","992.5","940.0","1,041.0","939.0","2.00M","7.18%"
"04/09/2026","926.0","939.0","943.0","921.0","697.67K","-2.78%"
"04/08/2026","952.5","990.0","1,012.0","945.5","2.95M","10.95%"
"04/07/2026","858.5","910.0","914.5","841.5","994.21K","-4.82%"
"04/02/2026","902.0","880.0","902.0","856.0","816.98K","-0.06%"
"04/01/2026","902.5","904.0","929.5","891.0","1.35M","6.24%"
"03/31/2026","849.5","863.0","866.0","832.0","1.07M","-1.91%"
"03/30/2026","866.0","898.0","902.0","846.0","719.35K","-2.09%"
