"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2026","360.00","359.00","364.60","356.30","3.25M","-0.36%"
"05/08/2026","361.30","372.00","372.00","361.30","4.34M","-3.37%"
"05/07/2026","373.90","378.80","381.80","373.60","5.30M","0.08%"
"05/06/2026","373.60","354.60","379.50","352.20","9.11M","8.86%"
"05/05/2026","343.20","353.10","356.50","343.20","4.99M","-3.87%"
"05/01/2026","357.00","355.50","357.00","350.80","2.66M","1.54%"
"04/30/2026","351.60","343.70","354.40","342.20","5.26M","1.12%"
"04/29/2026","347.70","350.50","350.50","343.80","4.85M","-0.88%"
"04/28/2026","350.80","356.00","357.60","348.10","4.95M","-1.90%"
"04/27/2026","357.60","359.70","362.10","356.30","2.85M","-0.11%"
"04/24/2026","358.00","363.90","365.00","356.60","3.84M","-2.61%"
"04/23/2026","367.60","361.10","368.60","357.60","3.43M","0.71%"
"04/22/2026","365.00","376.60","379.00","364.30","10.01M","-2.77%"
"04/21/2026","375.40","383.00","387.70","375.40","4.61M","-1.73%"
"04/20/2026","382.00","381.10","388.60","375.80","9.31M","-3.07%"
"04/17/2026","394.10","370.70","403.80","368.10","13.26M","6.05%"
"04/16/2026","371.60","359.00","386.80","357.00","13.94M","-4.96%"
"04/15/2026","391.00","394.70","395.30","389.30","4.07M","-1.36%"
"04/14/2026","396.40","380.50","396.40","380.50","5.04M","5.12%"
"04/13/2026","377.10","374.70","377.10","369.00","4.66M","-2.36%"
"04/10/2026","386.20","386.50","392.30","380.80","5.13M","0.89%"
"04/09/2026","382.80","384.00","387.30","377.40","4.65M","-2.57%"
"04/08/2026","392.90","405.60","412.10","391.00","11.56M","9.99%"
"04/07/2026","357.20","361.40","365.10","352.80","7.05M","-0.86%"
"04/02/2026","360.30","353.00","362.50","349.90","3.60M","-1.15%"
"04/01/2026","364.50","370.00","370.30","359.10","5.75M","5.01%"
"03/31/2026","347.10","348.30","351.80","345.80","4.49M","-0.37%"
"03/30/2026","348.40","350.00","350.00","344.30","5.44M","-0.94%"
"03/27/2026","351.70","357.20","358.50","350.10","6.54M","-1.24%"
"03/26/2026","356.10","355.00","360.90","352.10","4.07M","-0.75%"
"03/25/2026","358.80","360.50","367.10","355.60","5.87M","1.53%"
"03/24/2026","353.40","363.00","363.00","350.30","4.06M","-2.43%"
"03/23/2026","362.20","346.30","370.70","337.10","10.23M","2.43%"
"03/20/2026","353.60","357.00","363.00","353.60","28.29M","1.03%"
"03/19/2026","350.00","356.00","356.60","350.00","10.72M","-4.68%"
"03/18/2026","367.20","368.00","375.50","363.90","5.99M","1.46%"
"03/17/2026","361.90","365.20","370.60","358.00","8.48M","-0.25%"
"03/16/2026","362.80","372.00","372.00","358.50","7.69M","-1.79%"
"03/13/2026","369.40","372.60","377.80","369.40","5.94M","-2.99%"
"03/12/2026","380.80","393.00","394.90","378.30","9.98M","-4.23%"
"03/11/2026","397.60","397.10","400.20","393.90","12.28M","-0.90%"
"03/10/2026","401.20","409.70","413.40","398.10","11.57M","1.44%"
"03/09/2026","395.50","399.00","401.10","389.30","6.49M","-3.28%"
"03/06/2026","408.90","418.00","422.20","403.60","5.59M","-0.75%"
"03/05/2026","412.00","425.50","429.50","412.00","9.49M","-5.00%"
"03/04/2026","433.70","431.50","439.60","424.20","7.94M","0.51%"
"03/03/2026","431.50","445.00","445.00","425.90","8.85M","-4.11%"
"03/02/2026","450.00","442.70","451.90","430.30","7.40M","-3.02%"
"02/27/2026","464.00","474.40","474.80","457.70","9.93M","-2.62%"
"02/26/2026","476.50","464.30","483.60","462.30","6.07M","3.07%"
"02/25/2026","462.30","471.70","471.80","457.20","4.93M","-1.76%"
"02/24/2026","470.60","471.10","475.20","466.40","2.62M","0.21%"
"02/23/2026","469.60","473.90","477.90","469.30","2.48M","-0.91%"
"02/20/2026","473.90","476.10","477.10","470.80","3.06M","-0.34%"
"02/19/2026","475.50","485.10","485.50","471.90","6.17M","-3.41%"
"02/18/2026","492.30","494.40","494.40","480.50","8.53M","0.20%"
"02/17/2026","491.30","484.20","491.30","479.00","2.96M","1.28%"
"02/16/2026","485.10","482.30","492.90","482.30","2.18M","0.79%"
"02/13/2026","481.30","478.70","483.40","477.30","3.40M","0.65%"
"02/12/2026","478.20","483.50","488.80","477.70","2.75M","-0.15%"
"02/11/2026","478.90","486.90","491.20","478.90","4.25M","-0.48%"
"02/10/2026","481.20","485.80","487.10","478.30","2.69M","-1.05%"
"02/09/2026","486.30","488.00","494.10","481.90","12.88M","0.04%"
"02/06/2026","486.10","484.00","489.10","477.70","3.03M","0.35%"
"02/05/2026","484.40","498.00","498.00","482.80","2.54M","-2.30%"
"02/04/2026","495.80","492.00","499.10","492.00","3.28M","1.06%"
"02/03/2026","490.60","488.50","493.00","485.80","3.40M","-0.08%"
"02/02/2026","491.00","478.20","491.00","478.20","4.58M","2.76%"
"01/30/2026","477.80","478.50","483.20","475.70","6.24M","0.97%"
"01/29/2026","473.20","480.00","490.60","467.00","9.12M","-0.53%"
"01/28/2026","475.70","471.50","477.10","468.40","3.23M","1.06%"
"01/27/2026","470.70","475.00","476.10","466.70","4.21M","-1.13%"
"01/26/2026","476.10","480.40","480.90","470.60","6.22M","-1.20%"
"01/23/2026","481.90","496.10","496.10","478.50","4.24M","-2.98%"
"01/22/2026","496.70","492.00","502.60","489.90","4.66M","2.82%"
"01/21/2026","483.10","482.40","490.80","480.30","2.75M","1.28%"
"01/20/2026","477.00","485.00","488.10","474.30","3.91M","-1.39%"
"01/19/2026","483.70","480.00","487.00","479.60","2.47M","-0.29%"
"01/16/2026","485.10","484.80","489.50","479.60","3.93M","0.23%"
"01/15/2026","484.00","476.50","485.10","475.00","3.60M","0.44%"
"01/14/2026","481.90","488.00","495.90","478.60","4.40M","-1.51%"
"01/13/2026","489.30","490.80","492.70","483.00","3.38M","-0.55%"
"01/12/2026","492.00","500.20","500.40","489.70","3.25M","-2.11%"
"01/09/2026","502.60","504.00","508.40","501.40","2.03M","-0.55%"
"01/08/2026","505.40","504.00","510.20","504.00","3.77M","0.16%"
"01/07/2026","504.60","522.20","522.20","500.20","4.18M","-3.37%"
"01/06/2026","522.20","517.20","525.20","514.80","5.21M","1.40%"
"01/05/2026","515.00","516.60","517.40","502.60","2.58M","0.23%"
"01/02/2026","513.80","509.80","515.00","505.80","2.85M","0.63%"
"12/31/2025","510.60","509.80","510.60","506.20","547.40K","0.00%"
"12/30/2025","510.60","506.40","511.00","502.80","1.78M","0.95%"
