"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2026","1,127.00","1,139.00","1,146.55","1,121.00","699.21K","-0.88%"
"05/08/2026","1,137.00","1,166.00","1,166.00","1,131.00","587.62K","-2.40%"
"05/07/2026","1,165.00","1,172.00","1,191.00","1,165.00","451.85K","0.09%"
"05/06/2026","1,164.00","1,130.00","1,197.00","1,127.00","841.54K","4.30%"
"05/05/2026","1,116.00","1,111.00","1,128.00","1,107.00","912.47K","-0.98%"
"05/01/2026","1,127.00","1,122.00","1,127.00","1,093.00","527.42K","2.27%"
"04/30/2026","1,102.00","1,070.00","1,106.00","1,066.00","1.43M","2.04%"
"04/29/2026","1,080.00","990.00","1,095.00","980.00","2.11M","0.93%"
"04/28/2026","1,070.00","1,115.00","1,116.00","1,070.00","1.37M","-3.17%"
"04/27/2026","1,105.00","1,101.00","1,126.00","1,101.00","764.59K","-0.63%"
"04/24/2026","1,112.00","1,125.00","1,130.00","1,107.00","500.91K","-2.03%"
"04/23/2026","1,135.00","1,133.00","1,150.00","1,122.00","713.96K","-0.70%"
"04/22/2026","1,143.00","1,187.00","1,187.00","1,143.00","676.47K","-3.46%"
"04/21/2026","1,184.00","1,220.00","1,220.00","1,184.00","439.29K","-1.00%"
"04/20/2026","1,196.00","1,205.00","1,209.00","1,184.00","574.79K","-2.37%"
"04/17/2026","1,225.00","1,156.00","1,247.00","1,155.00","1.40M","5.06%"
"04/16/2026","1,166.00","1,160.00","1,194.00","1,150.00","1.25M","-4.19%"
"04/15/2026","1,217.00","1,211.00","1,222.00","1,204.00","440.70K","-0.25%"
"04/14/2026","1,220.00","1,188.00","1,220.00","1,188.00","631.92K","3.30%"
"04/13/2026","1,181.00","1,190.00","1,190.00","1,160.00","1.17M","-2.56%"
"04/10/2026","1,212.00","1,210.00","1,235.00","1,201.00","954.08K","0.58%"
"04/09/2026","1,205.00","1,201.00","1,211.00","1,185.00","748.38K","-0.08%"
"04/08/2026","1,206.00","1,250.00","1,250.00","1,193.00","1.08M","7.39%"
"04/07/2026","1,123.00","1,132.00","1,144.00","1,116.00","569.43K","-1.14%"
"04/02/2026","1,136.00","1,152.00","1,156.00","1,125.00","598.22K","-3.24%"
"04/01/2026","1,174.00","1,155.00","1,185.00","1,147.00","1.07M","5.58%"
"03/31/2026","1,112.00","1,109.00","1,130.00","1,109.00","481.80K","-0.18%"
"03/30/2026","1,114.00","1,115.00","1,120.00","1,100.00","607.53K","-1.42%"
"03/27/2026","1,130.00","1,127.00","1,132.00","1,112.00","618.27K","0.18%"
"03/26/2026","1,128.00","1,118.00","1,131.00","1,107.00","641.35K","0.53%"
"03/25/2026","1,122.00","1,112.00","1,148.00","1,112.00","480.16K","1.81%"
"03/24/2026","1,102.00","1,114.00","1,119.00","1,100.00","977.23K","-0.99%"
"03/23/2026","1,113.00","1,034.00","1,132.00","1,034.00","1.17M","4.12%"
"03/20/2026","1,069.00","1,071.00","1,085.00","1,067.00","1.20M","1.81%"
"03/19/2026","1,050.00","1,116.00","1,116.00","1,050.00","1.22M","-4.89%"
"03/18/2026","1,104.00","1,120.00","1,123.00","1,092.00","553.62K","1.01%"
"03/17/2026","1,093.00","1,093.00","1,109.00","1,076.00","564.36K","0.92%"
"03/16/2026","1,083.00","1,107.00","1,107.00","1,077.00","698.75K","-1.19%"
"03/13/2026","1,096.00","1,159.00","1,159.00","1,090.00","694.39K","-1.08%"
"03/12/2026","1,108.00","1,130.00","1,150.00","1,082.00","1.22M","-4.07%"
"03/11/2026","1,155.00","1,184.00","1,184.00","1,155.00","905.78K","-2.28%"
"03/10/2026","1,182.00","1,196.00","1,198.00","1,176.00","686.53K","2.16%"
"03/09/2026","1,157.00","1,150.00","1,164.00","1,122.00","931.93K","-0.77%"
"03/06/2026","1,166.00","1,197.00","1,206.00","1,166.00","800.83K","-0.93%"
"03/05/2026","1,177.00","1,205.00","1,213.00","1,177.00","718.36K","-1.92%"
"03/04/2026","1,200.00","1,179.00","1,217.00","1,174.00","984.56K","1.78%"
"03/03/2026","1,179.00","1,210.00","1,221.00","1,178.00","1.20M","-3.76%"
"03/02/2026","1,225.00","1,199.00","1,240.00","1,160.00","1.24M","-2.47%"
"02/27/2026","1,256.00","1,299.00","1,299.00","1,256.00","1.03M","-2.33%"
"02/26/2026","1,286.00","1,260.00","1,293.00","1,240.00","1.36M","2.88%"
"02/25/2026","1,250.00","1,279.00","1,280.00","1,220.00","1.72M","-2.87%"
"02/24/2026","1,287.00","1,316.00","1,316.00","1,283.00","847.67K","-0.92%"
"02/23/2026","1,299.00","1,308.00","1,315.00","1,291.00","1.66M","-0.69%"
"02/20/2026","1,308.00","1,297.00","1,321.00","1,297.00","1.06M","1.16%"
"02/19/2026","1,293.00","1,321.00","1,321.00","1,286.00","497.47K","-0.54%"
"02/18/2026","1,300.00","1,300.00","1,315.00","1,284.00","697.35K","-0.08%"
"02/17/2026","1,301.00","1,282.00","1,305.00","1,282.00","443.32K","0.77%"
"02/16/2026","1,291.00","1,265.00","1,308.00","1,265.00","529.59K","1.81%"
"02/13/2026","1,268.00","1,229.00","1,268.00","1,229.00","1.29M","2.34%"
"02/12/2026","1,239.00","1,232.00","1,246.00","1,221.00","536.46K","1.14%"
"02/11/2026","1,225.00","1,217.00","1,245.00","1,217.00","1.48M","-1.05%"
"02/10/2026","1,238.00","1,271.00","1,271.00","1,232.00","714.40K","-2.29%"
"02/09/2026","1,267.00","1,254.00","1,277.00","1,250.00","635.91K","1.04%"
"02/06/2026","1,254.00","1,240.00","1,256.00","1,225.00","580.40K","1.62%"
"02/05/2026","1,234.00","1,275.00","1,275.00","1,226.00","564.14K","-2.06%"
"02/04/2026","1,260.00","1,241.00","1,272.00","1,241.00","539.61K","0.32%"
"02/03/2026","1,256.00","1,260.00","1,271.00","1,247.00","752.49K","0.00%"
